"Central Falls","Central Falls High School"
"Central Falls","Calcutt Middle School"
"Chariho Regional School District","Chariho High School"
"Chariho Regional School District","Chariho Middle School"
"Coventry","Coventry High School"
"Coventry","Feinstein Middle School"
"Cranston","Cranston High School East"
"Cranston","Bain Middle School"
"Johnston","Johnston Sr. High"
"Johnston","Ferri Middle School"
"Lincoln","Lincoln High School"
"Lincoln","Lincoln Middle School"
"North Providence","North Providence High School"
"North Providence","Birchwood Middle School"
"Scituate","Scituate High School"
"Scituate","Scituate Middle School"
"Warwick","Pilgrim High School"
"Warwick","Toll Gate High School"
"Warwick","Warwick Veterans Memorial High School"
"Warwick","Aldrich Jr High School"
"Warwick","Gorton Jr High School"
"Warwick","Winman Jr High School"
"West Warwick","West Warwick High School"
"West Warwick","Deering Middle School"
"Woonsocket","Woonsocket High School"
"Woonsocket","Woonsocket Middle School @ Hamlet"
"Woonsocket","Woonsocket Middle School @ Villanova"
